num_processes,total_time,cpu_time,min_block_time,max_block_time,throughput_MB_s
1,0.017142,0.012304,0.000013,0.003234,111.51
2,0.007690,0.009860,0.000017,0.000127,248.57
4,0.005754,0.015146,0.000019,0.000668,332.21
6,0.005656,0.022551,0.000021,0.001072,337.96
8,0.005965,0.026705,0.000014,0.001241,320.45
10,0.006896,0.032015,0.000022,0.002070,277.19
15,0.005048,0.024237,0.000025,0.000418,378.67
8,0.011866,0.079241,0.000024,0.007658,161.09
1,0.013136,0.008089,0.000014,0.000123,145.52
2,0.007496,0.009282,0.000014,0.000110,255.00
4,0.005560,0.013794,0.000015,0.000691,343.80
